a=32,b=90,c=52,d=90
phi,theta,alpha,torque
78, 76.1415832724417,38.0018866837994,1.14461509068161
79, 76.5570731393999,39.0775750406622,1.15669582887270
80, 77.1019802314166,40.3247044719668,1.16883438695309
81, 77.6094308862225,41.5630172573143,1.18220192397831
82, 78.0473050695385,42.7384842209868,1.19708389939117
83, 78.5594086814193,44.0452963741970,1.21276952592152
84, 79.2746852553918,45.7246360872760,1.22881234831675
85, 79.4641633012566,46.5544536414460,1.24918983591520
86, 80.0014515622899,47.9971997057852,1.26964521228610
87, 80.4502080338859,49.2898076270861,1.29261453376056
88, 81.0121085076929,50.8428110129577,1.31774664128644
89, 81.4318387075045,52.0627533273418,1.34611865392362
90, 81.9943054508018,53.6309156534260,1.37785301052529
91, 82.4560010572833,54.8709169730319,1.41352931588717
92, 82.9221684803404,56.0057874056114,1.45358805885427
93, 83.4063679160977,57.0139494553986,1.49859507884433
94, 83.9380244392918,57.9244810016897,1.54948081938424
95, 84.3973308425127,58.0751046352823,1.60265710093089
96, 84.8343315675857,57.4041623676975,1.65537512040022
97, 85.3757111356289,56.2017763412626,1.70852148136024
98, 85.8204754299179,53.0507784793718,1.74538057558628
99, 86.3601719830673,48.1731500786739,1.76724256431314
100, 86.7941830834249,39.3579754494289,1.75404245739365
101, 87.3419973360414,23.0453475667933,1.69542515216947
102, 87.7542196639209,28.6967286938258*I,(57.3778144413193 + 5.64416776491773*I)/(36.0705316411568 + 0.654637788037203*I)
